player_id,full_name,position,team,number,college,years_exp,birth_date,age,height,weight,depth_chart_order,injury_status,injury_body_part,search_full_name,adds,drops,owner_id_freedom,owner_id_uww,display_name_freedom,display_name_uww,merge_name,sleeper_id,year_signed,years,apy,draft_year,draft_round,draft_overall,year_final,years_remaining
11649,Kendall Milton,RB,CIN,36.0,Georgia,2.0,2002-02-10,24.6,73,230,,,,kendallmilton,,,,,,,kendallmilton,11649,2026.0,1.0,0.2475,2024.0,,,2026.0,0.0
6783,Jerry Jeudy,WR,CLE,3.0,Alabama,6.0,1999-04-24,27.4,73,195,1.0,,,jerryjeudy,8955.0,22221.0,1000853961747877888,1265863097675956224,Tscheibe26,JacksonTaft,jerryjeudy,6783,2024.0,3.0,17.5,2020.0,1.0,15.0,2026.0,0.0
13600,Tyren Montgomery,WR,TEN,19.0,John Carroll,0.0,2001-07-03,25.2,71,204,,,,tyrenmontgomery,,,,,,,tyrenmontgomery,13600,2026.0,1.0,0.2475,2026.0,,,2026.0,0.0
11616,Jacob Cowing,WR,SF,6.0,Arizona,2.0,2001-02-04,25.6,69,171,5.0,Questionable,Groin,jacobcowing,,,,,,,jacobcowing,11616,2024.0,4.0,1.137177,2024.0,4.0,135.0,2027.0,1.0
5965,Miles Boykin,WR,,80.0,Notre Dame,6.0,1996-10-12,29.9,75,231,,,,milesboykin,,,,,,,,,,,,,,,,
13064,Dorian Singer,WR,,,Utah,1.0,2002-10-16,23.9,72,181,,,,doriansinger,,,,,,,,,,,,,,,,
4992,Dante Pettis,WR,,87.0,Washington,8.0,1995-10-23,30.9,73,195,,,,dantepettis,,,,,,,,,,,,,,,,
11155,Christian Sims,TE,,46.0,Bowling Green,1.0,2001-02-15,25.6,74,243,,,,christiansims,,,,,,,,,,,,,,,,
9504,Kayshon Boutte,WR,HOU,14.0,LSU,3.0,2002-05-07,24.4,72,197,2.0,,,kayshonboutte,6653.0,,1000639485861785600,730904582686912512,Joshlahay10,rlonigro,kayshonboutte,9504,2023.0,4.0,1.006816,2023.0,6.0,187.0,2026.0,0.0
4828,Rashard Davis,WR,,6.0,James Madison,5.0,1995-09-14,31.0,69,180,,,,rasharddavis,,,,,,,,,,,,,,,,
4396,Drew Morgan,WR,,81.0,Arkansas,5.0,1994-12-02,31.8,72,187,,,,drewmorgan,,,,,,,,,,,,,,,,
4038,John Ross,WR,,38.0,Washington,7.0,1995-11-27,30.8,71,190,,,,johnross,,,,,,,,,,,,,,,,
12507,Omarion Hampton,RB,LAC,8.0,North Carolina,1.0,2003-03-16,23.5,72,220,1.0,,,omarionhampton,,,731184036722118656,1265863097675956224,JScott51,JacksonTaft,omarionhampton,12507,2025.0,4.0,4.443616,2025.0,1.0,22.0,2028.0,2.0
11439,Jaleel McLaughlin,RB,CLE,38.0,Youngstown State,3.0,2000-09-13,26.0,67,187,,,,jaleelmclaughlin,,,,,,,jaleelmclaughlin,11439,2026.0,1.0,0.3303,2023.0,,,2026.0,0.0
11282,Johnny King,WR,,43.0,Southeast Missouri State,1.0,1999-09-29,27.0,77,209,,,,johnnyking,,,,,,,,,,,,,,,,
3730,Tevin Jones,WR,,0.0,Memphis,6.0,1992-12-26,33.7,74,225,,,,tevinjones,,,,,,,,,,,,,,,,
13302,Adam Randall,RB,BAL,23.0,Clemson,0.0,2004-07-14,22.2,75,240,5.0,IR,Undisclosed,adamrandall,5789.0,,731174840580571136,862077560916389888,Mattwyn,milly69,adamrandall,13302,2026.0,4.0,1.189869,2026.0,5.0,174.0,2029.0,3.0
5718,Ryan Yurachek,TE,,42.0,Marshall,4.0,1996-08-27,30.0,72,239,,,,ryanyurachek,,,,,,,,,,,,,,,,
3916,David Watford,WR,,14.0,Hampton,6.0,1993-06-16,33.2,74,212,,,,davidwatford,,,,,,,,,,,,,,,,
5530,Evan Berry,WR,,0.0,Tennessee,4.0,1995-11-04,30.9,71,205,,,,evanberry,,,,,,,,,,,,,,,,
11445,Taylor Grimes,WR,,13.0,Incarnate Word,1.0,2000-03-26,26.5,71,188,,,,taylorgrimes,,,,,,,,,,,,,,,,
5619,Dalyn Dawkins,RB,,28.0,Colorado State,4.0,1994-12-12,31.8,67,185,,,,dalyndawkins,,,,,,,,,,,,,,,,
5122,Boston Scott,RB,,33.0,Louisiana Tech,6.0,1995-04-27,31.4,66,203,,,,bostonscott,,,,,,,,,,,,,,,,
11629,Devontez Walker,WR,BAL,81.0,North Carolina,2.0,2001-06-19,25.2,73,198,4.0,,,devontezwalker,,,,,,,devontezwalker,11629,2024.0,4.0,1.204463,2024.0,4.0,113.0,2027.0,1.0
13295,Behren Morton,QB,NE,15.0,Texas Tech,0.0,2002-01-17,24.7,74,218,3.0,,,behrenmorton,,,,,,,behrenmorton,13295,2026.0,4.0,1.132307,2026.0,7.0,234.0,2029.0,3.0
2320,Melvin Gordon,RB,,33.0,Wisconsin,9.0,1993-04-13,33.4,73,215,,,,melvingordon,,,,,,,,,,,,,,,,
1895,AJ McCarron,QB,,4.0,Alabama,10.0,1990-09-13,36.0,75,220,,,,ajmccarron,,,,,,,,,,,,,,,,
11906,Ty James,WR,,,Mercer,1.0,2001-04-06,25.4,74,200,,,,tyjames,,,,,,,,,,,,,,,,
12493,Oronde Gadsden,TE,LAC,86.0,Syracuse,1.0,2003-06-25,23.2,77,236,1.0,,,orondegadsden,,35090.0,731172076769128448,990858054952411136,TuckBrock,parkergullixon,orondegadsden,12493,2025.0,4.0,1.143509,2025.0,5.0,165.0,2028.0,2.0
12028,TaMerik Williams,RB,,,North Dakota State,1.0,,,72,227,,,,tamerikwilliams,,,,,,,,,,,,,,,,
12699,LaJohntay Wester,WR,BAL,10.0,Colorado,1.0,2002-03-29,24.5,69,180,6.0,,,lajohntaywester,,,,,,,lajohntaywester,12699,2025.0,4.0,1.103717,2025.0,6.0,203.0,2028.0,2.0
3488,D.J. Foster,RB,,37.0,Arizona State,6.0,1993-11-22,32.8,72,205,,,,djfoster,,,,,,,,,,,,,,,,
13323,Rahsul Faison,RB,,,,0.0,,,72,218,,,,rahsulfaison,,,,,,,,,,,,,,,,
12244,DeAngelo Hardy,WR,,,North Central,1.0,,,73,208,,,,deangelohardy,,,,,,,,,,,,,,,,
1387,Rex Burkhead,RB,,28.0,Nebraska,10.0,1990-07-02,36.2,70,215,,,,rexburkhead,,,,,,,,,,,,,,,,
7553,Kyle Pitts,TE,ATL,8.0,Florida,5.0,2000-10-06,25.9,78,250,1.0,,,kylepitts,,,731174840580571136,462057196620869632,Mattwyn,calebb15,kylepitts,7553,2026.0,3.0,17.666667,2021.0,1.0,4.0,2028.0,2.0
5143,Demario Richard,RB,,0.0,Arizona State,4.0,1996-12-02,29.8,70,219,,,,demariorichard,,,,,,,,,,,,,,,,
8410,Jequez Ezzard,WR,,0.0,Sam Houston State,1.0,,,70,195,,,,jequezezzard,,,,,,,,,,,,,,,,
2025,Albert Wilson,WR,,12.0,Georgia State,9.0,1992-07-12,34.2,69,195,,,,albertwilson,,,,,,,,,,,,,,,,
12300,Joshua Lingenfelter,TE,,,Army,1.0,,,75,250,,,,joshualingenfelter,,,,,,,,,,,,,,,,
11304,E.J. Jenkins,TE,PHI,84.0,Georgia Tech,3.0,1998-11-03,27.9,78,245,5.0,,,ejjenkins,,,,,,,ejjenkins,11304,2026.0,2.0,1.082667,2023.0,,,2027.0,1.0
19,Joe Flacco,QB,CIN,16.0,Delaware,18.0,1985-01-16,41.7,78,245,2.0,,,joeflacco,,8559.0,,,,,joeflacco,19,2026.0,1.0,6.0,2008.0,1.0,18.0,2026.0,0.0
13352,Lincoln Pare,RB,,36.0,Texas State,0.0,2001-06-29,25.2,68,190,,Questionable,Undisclosed,lincolnpare,,,,,,,,,,,,,,,,
12967,Jacolby George,WR,,,Miami (FL),1.0,2003-01-25,23.6,71,172,,,,jacolbygeorge,,,,,,,,,,,,,,,,
14017,Brett Weaver,TE,,,Grand Valley State,0.0,,,78,230,,,,brettweaver,,,,,,,,,,,,,,,,
13228,Ife Adeyi,WR,,,Sam Houston,1.0,2000-12-05,25.8,70,175,,,,ifeadeyi,,,,,,,,,,,,,,,,
6459,Sean Modster,WR,,14.0,Boise State,3.0,1995-11-13,30.8,71,183,,,,seanmodster,,,,,,,,,,,,,,,,
12264,Cole Beck,WR,,,Virginia Tech,1.0,1995-03-15,31.5,73,195,,,,colebeck,,,,,,,,,,,,,,,,
801,Charles Clay,TE,,85.0,Tulsa,11.0,1989-02-13,37.6,75,246,,,,charlesclay,,,,,,,,,,,,,,,,
6374,Drew Belcher,TE,,82.0,Maine,3.0,1996-04-18,30.4,75,250,,,,drewbelcher,,,,,,,,,,,,,,,,
4054,Mo Alie-Cox,TE,IND,81.0,VCU,9.0,1993-09-19,33.0,77,267,2.0,,,moaliecox,,,,,,,moaliecox,4054,2026.0,1.0,2.6875,2017.0,,,2026.0,0.0
7944,Michael Strachan,WR,,84.0,Charleston,4.0,1997-08-13,29.1,77,225,,,,michaelstrachan,,,,,,,,,,,,,,,,
1550,Ryan Griffin,QB,,4.0,Tulane,10.0,1989-11-17,36.8,76,218,,,,ryangriffin,,,,,,,,,,,,,,,,
13108,Julian Fleming,WR,,,Penn State,0.0,2000-12-19,25.7,74,208,,,,julianfleming,,,,,,,,,,,,,,,,
3423,Robbie Chosen,WR,,12.0,Temple,10.0,1993-05-09,33.4,75,190,,,,robbiechosen,,,,,,,,,,,,,,,,
12121,Deshaun Fenwick,RB,,35.0,Oregon State,1.0,1999-12-31,26.7,73,223,,,,deshaunfenwick,,,,,,,,,,,,,,,,
3496,Stephen Anderson,TE,,40.0,California,8.0,1993-01-30,33.6,75,230,,,,stephenanderson,,,,,,,,,,,,,,,,
4813,Marvin Bracy,WR,,87.0,Florida State,5.0,1993-12-15,32.7,69,172,,,,marvinbracy,,,,,,,,,,,,,,,,
1800,Jordan Matthews,TE,,81.0,Vanderbilt,11.0,1992-07-16,34.2,75,236,,,,jordanmatthews,,,,,,,,,,,,,,,,
5100,Jordan Wilkins,RB,,30.0,Ole Miss,5.0,1994-07-18,32.2,73,216,,,,jordanwilkins,,,,,,,,,,,,,,,,
7938,Hunter Kampmoyer,TE,,84.0,Oregon,3.0,1998-02-06,28.6,76,243,,,,hunterkampmoyer,,,,,,,,,,,,,,,,
12848,Josh Kelly,WR,HOU,85.0,Texas Tech,1.0,2001-07-01,25.2,73,192,,,,joshkelly,,,,,,,,,,,,,,,,
8698,Jake Tonges,TE,SF,88.0,California,4.0,1999-07-08,27.2,76,240,2.0,,,jaketonges,,9300.0,731172076769128448,,TuckBrock,,jaketonges,8698,2026.0,2.0,4.0,2022.0,,,2027.0,1.0
3453,Josh Ferguson,RB,,36.0,Illinois,6.0,1993-05-23,33.3,70,205,,,,joshferguson,,,,,,,,,,,,,,,,
4385,Kalif Phillips,RB,,34.0,North Carolina-Charlotte,5.0,1994-03-22,32.5,70,221,,,,kalifphillips,,,,,,,,,,,,,,,,
7013,Steven Montez,QB,,12.0,Colorado,3.0,1997-01-14,29.7,77,230,,,,stevenmontez,,,,,,,,,,,,,,,,
7862,T.J. Vasher,WR,,16.0,Texas Tech,1.0,1998-08-29,28.0,77,210,,,,tjvasher,,,,,,,,,,,,,,,,
10233,Max Duggan,QB,,8.0,TCU,1.0,2001-03-12,25.5,73,207,,,,maxduggan,,,,,,,,,,,,,,,,
1517,Theo Riddick,RB,,0.0,Notre Dame,9.0,1991-05-04,35.4,69,201,,,,theoriddick,,,,,,,,,,,,,,,,
6279,Brandon Dillon,TE,,46.0,Marian (IN),4.0,1997-04-30,29.4,77,250,,,,brandondillon,,,,,,,,,,,,,,,,
6501,C.J. Conrad,TE,,43.0,Kentucky,3.0,1996-05-09,30.3,76,248,,,,cjconrad,,,,,,,,,,,,,,,,
5776,Mark Chapman,WR,,85.0,Central Michigan,4.0,,,72,180,,,,markchapman,,,,,,,,,,,,,,,,
2948,Brandon Cottom,RB,,42.0,Purdue,7.0,1992-12-21,33.7,76,265,,,,brandoncottom,,,,,,,,,,,,,,,,
12971,Ke'Shawn Williams,WR,CIN,12.0,Indiana,1.0,2001-12-27,24.7,69,189,7.0,,,keshawnwilliams,,,,,,,keshawnwilliams,12971,2025.0,2.0,0.9225,2025.0,,,2026.0,0.0
6381,Alexander Hollins,WR,,0.0,Eastern Illinois,3.0,1996-11-24,29.8,73,166,,,,alexanderhollins,,,,,,,,,,,,,,,,
6016,Dax Raymond,TE,PIT,49.0,Utah State,3.0,1994-11-30,31.8,76,245,,,,daxraymond,,,,,,,,,,,,,,,,
11157,Brycen Tremayne,WR,CAR,87.0,Stanford,3.0,1999-11-18,26.8,76,212,6.0,,,brycentremayne,,,,,,,brycentremayne,11157,2026.0,1.0,1.005,2023.0,,,2026.0,0.0
6908,La'Mical Perine,RB,,29.0,Florida,4.0,1998-01-30,28.6,71,216,,,,lamicalperine,,,,,,,,,,,,,,,,
4569,Brian Brown,WR,,3.0,Richmond,5.0,1994-10-22,31.9,74,205,,,,brianbrown,,,,,,,,,,,,,,,,
5007,Keke Coutee,WR,,88.0,Texas Tech,5.0,1997-01-14,29.7,71,180,,,,kekecoutee,,,,,,,,,,,,,,,,
8116,Pierre Strong,RB,GB,22.0,South Dakota State,4.0,1998-12-10,27.8,71,207,,,,pierrestrong,,,,,,,pierrestrong,8116,2026.0,1.0,0.3303,2022.0,4.0,127.0,2026.0,0.0
6823,Jacob Eason,QB,,7.0,Washington,4.0,1997-11-17,28.8,78,226,,,,jacobeason,,,,,,,,,,,,,,,,
3648,Matt Weiser,TE,,87.0,Buffalo,6.0,1992-10-07,33.9,77,255,,,,mattweiser,,,,,,,,,,,,,,,,
7619,Mathew Sexton,WR,,87.0,Eastern Michigan,3.0,1997-10-17,28.9,70,176,,,,mathewsexton,,,,,,,,,,,,,,,,
7555,Jamie Newman,QB,,10.0,Georgia,1.0,1997-12-01,28.8,76,230,,,,jamienewman,,,,,,,,,,,,,,,,
13409,Donaven McCulley,WR,,80.0,Michigan,0.0,2003-01-15,23.7,76,209,,,,donavenmcculley,,,,,,,,,,,,,,,,
7585,Davis Mills,QB,HOU,10.0,Stanford,5.0,1998-10-21,27.9,76,225,2.0,,,davismills,,,,,,,davismills,7585,2025.0,1.0,7.0,2021.0,3.0,67.0,2025.0,-1.0
12399,Caleb Chapman,WR,,,Incarnate Word,1.0,,,77,220,,,,calebchapman,,,,,,,,,,,,,,,,
14076,Justin Jones,RB,,25.0,Auburn,0.0,,,72,213,,,,justinjones,,,,,,,,,,,,,,,,
8931,Josh Ali,WR,,80.0,Kentucky,2.0,1999-03-03,27.5,72,200,,,,joshali,,,,,,,,,,,,,,,,
8633,Stephon Robinson,WR,,0.0,Kansas State,1.0,,,69,181,,,,stephonrobinson,,,,,,,,,,,,,,,,
2359,Ameer Abdullah,RB,JAX,20.0,Nebraska,11.0,1993-06-13,33.3,69,203,4.0,,,ameerabdullah,,,,,,,ameerabdullah,2359,2026.0,1.0,1.3,2015.0,2.0,54.0,2026.0,0.0
788,Dion Lewis,RB,,0.0,Pittsburgh,11.0,1990-09-27,36.0,68,195,,,,dionlewis,,,,,,,,,,,,,,,,
8241,Anthony Brown,QB,,15.0,Oregon,3.0,1998-07-27,28.1,73,217,,,,anthonybrown,,,,,,,,,,,,,,,,
5854,Drew Lock,QB,SEA,2.0,Missouri,7.0,1996-11-10,29.8,76,228,2.0,,,drewlock,,,,,,,drewlock,5854,2025.0,2.0,2.5,2019.0,2.0,42.0,2026.0,0.0
2936,Rasheed Williams,RB,,0.0,Alfred State,11.0,,,73,215,,,,rasheedwilliams,,,,,,,,,,,,,,,,
3211,Paul Perkins,RB,,0.0,UCLA,6.0,1994-11-16,31.8,71,213,,,,paulperkins,,,,,,,,,,,,,,,,
7593,Trey Sermon,RB,ATL,44.0,Ohio State,5.0,1999-01-30,27.6,72,215,3.0,IR,Undisclosed,treysermon,,,,,,,treysermon,7593,2026.0,1.0,1.215,2021.0,3.0,88.0,2026.0,0.0
6489,Taryn Christion,QB,,5.0,South Dakota State,3.0,,,74,225,,,,tarynchristion,,,,,,,,,,,,,,,,
7614,Darius Clark,RB,,0.0,Newberry,1.0,1996-07-06,30.2,74,210,,,,dariusclark,,,,,,,,,,,,,,,,
12832,Blayne Taylor,WR,,,Abilene Christian,1.0,2002-03-30,24.5,76,212,,,,blaynetaylor,,,,,,,,,,,,,,,,
12809,Mac Dalena,WR,,82.0,Fresno State,1.0,2001-10-04,24.9,70,176,,,,macdalena,,,,,,,,,,,,,,,,
6966,Javon Leake,RB,,40.0,Maryland,2.0,1998-08-01,28.1,72,206,,,,javonleake,,,,,,,,,,,,,,,,
4548,Joel Bouagnon,RB,,34.0,Northern Illinois,5.0,1995-03-28,31.5,74,228,,,,joelbouagnon,,,,,,,,,,,,,,,,
12354,Easton Dean,TE,,,Iowa State,1.0,2004-12-01,21.8,78,265,,,,eastondean,,,,,,,,,,,,,,,,
3021,Devin Gardner,WR,,15.0,Michigan,10.0,1991-12-14,34.8,76,216,,,,devingardner,,,,,,,,,,,,,,,,
11579,Audric Estime,RB,NO,30.0,Notre Dame,2.0,2003-09-06,23.0,71,227,3.0,,,audricestime,,,,,,,audricestime,11579,2025.0,2.0,1.0175,2024.0,5.0,147.0,2026.0,0.0
3294,Dak Prescott,QB,DAL,4.0,Mississippi State,10.0,1993-07-29,33.1,74,230,1.0,,,dakprescott,,,731172076769128448,1127441193396285440,TuckBrock,LilmanJay67,dakprescott,3294,2024.0,4.0,60.0,2016.0,4.0,135.0,2027.0,1.0
4031,Travis Wilson,TE,,87.0,Utah,5.0,1993-12-14,32.8,79,258,,,,traviswilson,,,,,,,,,,,,,,,,
13301,Antonio Williams,WR,WAS,14.0,Clemson,0.0,2004-07-14,22.2,71,195,3.0,,,antoniowilliams,,,731004224116207616,731000657544359936,p0ppy,KyleWurster,antoniowilliams,13301,2026.0,4.0,1.81468,2026.0,3.0,71.0,2029.0,3.0
7274,Tyler Simmons,WR,,82.0,Georgia,2.0,1997-12-30,28.7,72,201,,,,tylersimmons,,,,,,,,,,,,,,,,
5359,Dorren Miller,WR,,18.0,Carson-Newman,4.0,1994-08-03,32.1,74,195,,,,dorrenmiller,,,,,,,,,,,,,,,,
3609,Chris King,WR,,0.0,Duquesne,9.0,1993-12-13,32.8,73,200,,,,chrisking,,,,,,,,,,,,,,,,
421,Matthew Stafford,QB,LAR,9.0,Georgia,17.0,1988-02-07,38.6,75,214,1.0,,,matthewstafford,,9792.0,731004224116207616,1265863097675956224,p0ppy,JacksonTaft,,,,,,,,,,
11636,Johnny Wilson,WR,PHI,89.0,Florida State,2.0,2001-04-03,25.4,78,228,9.0,IR,Knee,johnnywilson,,,,,,,johnnywilson,11636,2024.0,4.0,1.054252,2024.0,6.0,185.0,2027.0,1.0
8134,Khalil Shakir,WR,BUF,10.0,Boise State,4.0,2000-02-03,26.6,72,190,2.0,Questionable,Undisclosed,khalilshakir,23409.0,14895.0,1001981921347375104,862077560916389888,VanGrizzly,milly69,khalilshakir,8134,2025.0,4.0,13.25,2022.0,5.0,148.0,2028.0,2.0
5398,Justin Crawford,RB,,0.0,West Virginia,4.0,1995-02-19,31.6,72,200,,,,justincrawford,,,,,,,,,,,,,,,,
7828,Noah Gray,TE,KC,83.0,Duke,5.0,1999-04-30,27.4,75,240,2.0,,,noahgray,,,,,,,noahgray,7828,2024.0,3.0,6.0,2021.0,5.0,162.0,2026.0,0.0
10861,Xazavian Valladay,RB,,47.0,Arizona State,2.0,1998-07-03,28.2,72,198,,,,xazavianvalladay,,,,,,,,,,,,,,,,
4814,De'Quan Hampton,WR,,0.0,USC,5.0,1994-04-18,32.4,76,225,,,,dequanhampton,,,,,,,,,,,,,,,,
7397,Parker Houston,TE,,86.0,San Diego State,2.0,1997-12-06,28.8,75,250,,,,parkerhouston,,,,,,,,,,,,,,,,
11557,Joe Milton,QB,DAL,10.0,Tennessee,2.0,2000-03-06,26.5,77,236,,,,joemilton,,,,,,,,,,,,,,,,
5052,Ronald Jones,RB,,32.0,USC,5.0,1997-08-03,29.1,71,208,,,,ronaldjones,,,,,,,,,,,,,,,,
4128,Chad Williams,WR,,0.0,Grambling State,5.0,1994-10-19,31.9,73,204,,,,chadwilliams,,,,,,,,,,,,,,,,
6626,Isaac Zico,WR,,80.0,Purdue,3.0,1996-06-18,30.2,73,200,,,,isaaczico,,,,,,,,,,,,,,,,
13898,Corey Rucker,WR,LV,82.0,Arkansas State,0.0,2002-06-09,24.3,72,213,11.0,IR,Undisclosed,coreyrucker,,,,,,,,,,,,,,,,
13304,O'Mega Blake,WR,,,,0.0,,,74,187,,,,omegablake,,,,,,,,,,,,,,,,
5995,Justice Hill,RB,BAL,43.0,Oklahoma State,7.0,1997-11-14,28.8,70,195,2.0,,,justicehill,33642.0,10143.0,,,,,justicehill,5995,2024.0,2.0,3.0,2019.0,4.0,113.0,2025.0,-1.0
3524,Marquise Williams,QB,,0.0,North Carolina,9.0,1992-10-05,33.9,74,225,,,,marquisewilliams,,,,,,,,,,,,,,,,
4421,Jacob Hollister,TE,,87.0,Wyoming,7.0,1993-11-18,32.8,76,239,,,,jacobhollister,,,,,,,,,,,,,,,,
12925,Jamaal Pritchett,WR,NYJ,81.0,South Alabama,1.0,2003-06-10,23.3,68,175,,,,jamaalpritchett,,,,,,,jamaalpritchett,12925,2026.0,1.0,0.2475,2025.0,,,2026.0,0.0
12517,Colston Loveland,TE,CHI,84.0,Michigan,1.0,2004-04-09,22.4,78,241,1.0,,,colstonloveland,,,731174840580571136,1267949452228820992,Mattwyn,carsonclausen12,colstonloveland,12517,2025.0,4.0,6.659002,2025.0,1.0,10.0,2028.0,2.0
6081,Kendall Blanton,TE,,80.0,Missouri,4.0,1995-11-10,30.8,78,262,,,,kendallblanton,,,,,,,,,,,,,,,,
4479,Thomas Sperbeck,WR,,0.0,Boise State,5.0,1994-10-21,31.9,72,180,,,,thomassperbeck,,,,,,,,,,,,,,,,
3318,Kevin Hogan,QB,,5.0,Stanford,7.0,1992-10-20,33.9,75,218,,,,kevinhogan,,,,,,,,,,,,,,,,
5269,Codey McElroy,TE,,86.0,Southeastern Oklahoma State,4.0,1992-12-13,33.8,78,258,,,,codeymcelroy,,,,,,,,,,,,,,,,
2553,Rory Anderson,TE,,88.0,South Carolina,7.0,1992-10-02,34.0,76,246,,,,roryanderson,,,,,,,,,,,,,,,,
4585,Anthony Nash,WR,,3.0,Duke,5.0,1993-09-20,33.0,77,200,,,,anthonynash,,,,,,,,,,,,,,,,
11229,Calvin Tyler,RB,,36.0,Utah State,1.0,1998-09-23,28.0,68,208,,,,calvintyler,,,,,,,,,,,,,,,,
89,Chad Henne,QB,,4.0,Michigan,15.0,1985-07-02,41.2,75,230,,,,chadhenne,,,,,,,,,,,,,,,,
8138,James Cook,RB,BUF,4.0,Georgia,4.0,1999-09-25,27.0,71,190,1.0,,,jamescook,,,731184036722118656,731000657544359936,JScott51,KyleWurster,jamescook,8138,2025.0,4.0,11.5,2022.0,2.0,63.0,2028.0,2.0
13906,Jaden Nixon,RB,,35.0,UCF,0.0,,,70,199,,,,jadennixon,,,,,,,,,,,,,,,,
2770,Harold Spears,TE,,0.0,New Hampshire,10.0,1992-03-09,34.5,76,255,,,,haroldspears,,,,,,,,,,,,,,,,
13988,Stone Eby,TE,,,SMU,0.0,,,77,260,,,,stoneeby,,,,,,,,,,,,,,,,
7159,Reid Sinnett,QB,,7.0,San Diego,3.0,1997-02-05,29.6,76,225,,,,reidsinnett,,,,,,,,,,,,,,,,
9231,Jaren Hall,QB,,15.0,BYU,2.0,1998-03-24,28.5,72,207,,,,jarenhall,,,,,,,,,,,,,,,,
7262,Jalen Morton,QB,IND,6.0,Prairie View,2.0,1997-07-06,29.2,76,226,,,,jalenmorton,,,,,,,,,,,,,,,,
8442,Jarrett Guarantano,QB,,16.0,Washington State,1.0,1997-11-04,28.9,76,220,,,,jarrettguarantano,,,,,,,,,,,,,,,,
